over/under param ratio, Training MAE, Predict MAE, OOF MAE (?),Training time, Over/Under estimation ratio, numbers of folds
5,6.5718,15.2929,15.9215,231.5849,1.0, 5
1,5.1268,14.8889,14.6345,219.2784,59/41, 5
3,4.0908, 14.3061, 14.0771,428.5872,59/41, 10
7,6.6511,14.4721,15.2453,561.5973,44/56, 10
2,5.3539,14.2349,15.0373,391.3428,49/51,10
3, 3.6411,14.4098,14.0043,590.1608,51/49, 5
3, 3.6411,14.4098,14.0043,583.5219 (BATCH SIZE 256 -->128),51/49, 5
1, 3.8788,14.8872,14.0082,566.0462,56/44, 5
2, 3.6193,14.6575,14.4584,609.2696,56/44,5
5,3.6743, 14.6091, 14.8088,635.1659, 49/51,5
4,3.5812,14.9349,14.7919,597.8432,54/46,5
